"Hypothesis","Network","Summary_node","N_nodes","Strength","CI_lower","CI_upper","Rank","N_sig_higher","N_sig_lower","N_comparisons","Sig_highest","Sig_lowest","Verdict","Spec"
"H1","Study3_CMQ_Canada","CM",5,0.534,0.4,0.64,5,0,4,4,FALSE,TRUE,"falsified","CV_AND"
"H1","Study3_CMQ_Germany","CM",5,0.444,0.33,0.583,5,0,4,4,FALSE,TRUE,"falsified","CV_AND"
"H1","Study3_CMQ_Lebanon","CM",5,0.274,0.181,0.397,5,0,4,4,FALSE,TRUE,"falsified","CV_AND"
"H1","Study3_CMQ_Morocco","CM",5,0.541,0.388,0.676,5,0,2,4,FALSE,FALSE,"inconclusive","CV_AND"
"H1","Study3_CMQ_South Africa","CM",5,0.316,0.194,0.482,5,0,4,4,FALSE,TRUE,"falsified","CV_AND"
"H1","Study3_CMQ_United States","CM",5,0.598,0.519,0.755,5,0,2,4,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_DEU","CB",6,0.977,0.912,1.035,1,4,0,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_ESP","CB",6,0.716,0.658,0.778,5,0,4,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_FRA","CB",6,1.003,0.941,1.062,1,5,0,5,TRUE,FALSE,"supported","CV_AND"
"H2","Study1_SUSPECTS_GBR","CB",6,0.929,0.869,0.981,1,3,0,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_ITA","CB",6,0.853,0.796,0.912,3,1,0,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_POL","CB",6,0.751,0.699,0.81,5,1,3,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_SWE","CB",6,0.85,0.788,0.913,3,3,1,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study1_SUSPECTS_USA","CB",6,0.954,0.89,1.02,1,4,0,5,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study2_ACTS_USA","CB",5,0.73,0.691,0.81,4,1,3,4,FALSE,FALSE,"inconclusive","CV_AND"
"H2","Study3_CMQ_Australia","CB",6,0.636,0.512,0.754,6,0,5,5,FALSE,TRUE,"falsified","CV_AND"
